Skill Name,Use Count,Grouped Intents
test-skill-personal,10,"WhatAreYouIntent, WhenWereYouBornIntent, WhereWereYouBornIntent, WhoAreYouIntent, WhoMadeYouIntent"
KodiSkill,10,"PickMovie, PlayPause, Stop, WatchMovieIntent"
test-mycroft-stock.mycroftai,10,handle_stock_price_intent
IrsendSkill,10,"IrsendIntent, ListCodesIntent, ListRemotesIntent"
SunSkill,10,"SunRiseIntent, SunSetIntent"
CoxLifeCareSkill,10,"Cox, handle_call_911_intent"
UnsplashPlasmaWallpaperSkill,10,UnsplashKeywordIntent
mycroft-personal.mycroftai,10,"WhatAreYouIntent, WhenWereYouBornIntent, WhereWereYouBornIntent, WhoAreYouIntent, WhoMadeYouIntent"
WhatsNearbySkill,9,NearbyPlaces
SofrecomSkill,9,SofrecomIntent
AimoSkill,9,handle_count_intent
testing5,9,handle_testting
PoetrySkill,9,"RecitePoetryIntent, ReciteSatanicPoetryIntent"
test-mycroft-naptime.mycroftai,8,NapTimeIntent
test-mycroft-pairing.mycroftai,8,PairingIntent
test-mycroft-spelling.mycroftai,8,SpellingIntent
test-mycroft-stop.mycroftai,8,StopIntent
mycroft-playback-control.mycroftai,8,"handle_next, handle_pause, handle_play, handle_prev"
mycroft-npr-news.mycroftai,8,handle_intent
test-skill-playback-control,8,"handle_next, handle_pause, handle_play, handle_prev"
skill-desktop-launcher.MycroftAI,8,"LaunchWebsiteIntent, SearchWebsiteIntent"
SunspotSkill,8,"RecentIntent, SpotCountIntent"
AngryBeanieSkill,8,"GetLatestEpisodeIntent, GetPodcastsIntent"
test_mycroft-playback-control.mycroftai,8,"handle_next, handle_pause, handle_play, handle_prev"
test_mycroft-npr-news.MycroftAI,8,handle_intent
GimletPodcastSkill,8,PlayPodcastIntent
MycroftPlasmoidControlSkill,7,"MycroftPlasmoidShowKeywordIntent, MycroftPlasmoidShowSkillsKeywordIntent"
MosquitoSpeak,7,RepeatLastMessageIntent
ListsSkill,7,"ListClearIntent, ListIntent"
EnclosureTextSkill,7,EnclosureTextIntent
DialCallSkill,7,DialCallIntent
ActivitiesPlasmaDesktopSkill,7,"ActivitiesKeywordIntent, ShowActivitiesIntent, SwitchActivitiesIntent"
mycroft-date-time.mycroftai,6,"handle_query_date, handle_query_time"
test-skill-ip,6,IPIntent
test_mycroft-ip.MycroftAI,6,IPIntent
test_mycroft-date-time.MycroftAI,6,"handle_query_date, handle_query_time"
test_mycroft-weather.MycroftAI,6,CurrentWeatherIntent
mycroft-ip.mycroftai,6,IPIntent
mycroft-weather.mycroftai,6,CurrentWeatherIntent
SillyNameMakerSkill,6,"ColorIntent, NumberIntent, SillyNameMakerIntent"
TranslateSkill,6,"HowUseIntent, TranslateToIntent"
test_mycroft-reminder.MycroftAI,6,"ReminderSkillDeleteIntent, ReminderSkillListIntent"
mycroft-joke.mycroftai,6,"ChuckJokeIntent, JokingIntent"
test_mycroft-joke.MycroftAI,6,"ChuckJokeIntent, JokingIntent"
GoogleCalendarSkill,5,"EventsForXDaysIntent, NextEventIntent, TodaysEventsIntent"
GoogleCalendar-Skill,5,"EventsForXDaysIntent, NextEventIntent"
AsccbotQuoteSkill,5,QuoteIntent
OCBCSkill,5,WelcomeGuestsIntent
test-mycroft-configuration.mycroftai,5,UpdateConfigurationIntent
test-skill-pairing,4,PairingIntent
mycroft-naptime.mycroftai,4,NapTimeIntent
mycroft-pairing.mycroftai,4,PairingIntent
BirminghamIOSkill,4,handle_tech_events_intent
